Weather,Holiday,last category,next category
Weather.Cold,Holiday.Hannuka,salad,Soup
Weather.Cold,Holiday.Hannuka,Soup,Soup
Weather.Cold,Holiday.Tubishvat,Soup,Soup
Weather.Cold,Holiday.Succot,Quiche,Soup
Weather.Cold,Holiday.Pesach,Quiche,Soup
Weather.Cold,Holiday.Pesach,Quiche,Soup
Weather.Cold,Holiday.Succot,salad,Soup
Weather.Cold,,Fish,Soup
Weather.Cold,,Fish,Soup
weather.Regular,,Soup,Soup
weather.Regular,Holiday.Pesach,Soup,Soup
weather.Regular,Holiday.Pesach,Soup,Soup
weather.Regular,,Soup,Soup
weather.Regular,,Soup,Soup
weather.Regular,Holiday.Hannuka,salad,salad
weather.Regular,Holiday.Hannuka,salad,salad
weather.Regular,Holiday.Hannuka,salad,salad
weather.Regular,Holiday.Tubishvat,salad,salad
weather.Regular,Holiday.Pesach,salad,salad
weather.Regular,Holiday.Pesach,salad,salad
weather.Regular,,salad,salad
weather.Regular,Holiday.Succot,salad,salad
weather.Regular,,salad,salad
weather.Regular,,salad,salad
weather.Regular,,salad,salad
Weather.Hot,,salad,salad
Weather.Hot,,salad,salad
Weather.Cold,Holiday.Hannuka,Desert,Desert
Weather.Cold,Holiday.Hannuka,Desert,Desert
Weather.Cold,Holiday.Hannuka,Desert,Desert
weather.Regular,Holiday.Tubishvat,Desert,Desert
weather.Regular,Holiday.Purim,Desert,Desert
weather.Regular,Holiday.Pesach,Desert,Desert
weather.Regular,Holiday.Pesach,Desert,Desert
Weather.Hot,Holiday.Pesach,Desert,Desert
Weather.Hot,Holiday.Shavouot,Desert,Desert
Weather.Hot,Holiday.Shavouot,Desert,Desert
Weather.Hot,Holiday.Shavouot,Desert,Desert
Weather.Cold,Holiday.Succot,Desert,Desert
Weather.Cold,,Desert,Desert
Weather.Regular,Holiday.Hannuka,CakeAndCookies,CakeAndCookies
Weather.Regular,Holiday.Hannuka,CakeAndCookies,CakeAndCookies
Weather.Regular,Holiday.Hannuka,CakeAndCookies,CakeAndCookies
Weather.Regular,Holiday.Hannuka,CakeAndCookies,CakeAndCookies
Weather.Regular,Holiday.Tubishvat,CakeAndCookies,CakeAndCookies
Weather.Cold,Holiday.Purim,CakeAndCookies,CakeAndCookies
Weather.Cold,Holiday.Pesach,CakeAndCookies,CakeAndCookies
Weather.Cold,Holiday.Pesach,CakeAndCookies,CakeAndCookies
Weather.Cold,Holiday.Pesach,CakeAndCookies,CakeAndCookies
Weather.Hot,Holiday.Shavouot,CakeAndCookies,CakeAndCookies
Weather.Hot,,CakeAndCookies,CakeAndCookies
Weather.Hot,,CakeAndCookies,CakeAndCookies
Weather.Hot,,CakeAndCookies,CakeAndCookies
Weather.Hot,,Desert,CakeAndCookies
Weather.Cold,Holiday.Hannuka,Breads,Breads
Weather.Cold,Holiday.Hannuka,Breads,Breads
Weather.Cold,Holiday.RoshHashana,Breads,Breads
Weather.Cold,Holiday.Succot,Breads,Breads
Weather.Regular,Holiday.Succot4.6,Breads,Breads
Weather.Regular,,Breads,Breads
Weather.Regular,Holiday.Shavouot,Breads,Breads
Weather.Regular,,Breads,Breads
Weather.Cold,,Breads,Breads
weather.Regular,,Breads,Breads
